Table with row headers in column A and column headers in rows 9 through 11,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
"$155,000 to $159,999",873,748,18,116,44,72,217,91,126,206,84,122,191,102,89,125,110,55,55,14,49.3
"$160,000 to $164,999",912,778,8,114,45,69,177,97,80,279,145,135,200,118,82,134,110,62,48,24,50.1
"$165,000 to $169,999",697,599,4,77,24,54,168,93,75,180,84,95,170,113,56,98,76,46,30,22,50.0
"$170,000 to $174,999",719,606,4,63,17,46,146,74,71,198,79,118,195,98,97,113,75,44,32,38,52.1
"$175,000 to $179,999",729,627,21,85,13,72,176,85,91,172,85,86,173,97,76,103,80,41,39,22,49.7
"$180,000 to $184,999",623,516,3,88,23,65,150,73,77,149,75,74,126,76,50,107,82,49,34,24,50.1
"$185,000 to $189,999",574,480,5,38,11,28,115,50,65,141,73,68,181,98,83,94,72,47,24,22,52.6
"$190,000 to $194,999",552,473,8,46,19,28,140,72,69,169,88,81,110,65,45,79,58,33,25,21,49.9
"$195,000 to $199,999",424,370,5,39,11,28,127,66,61,115,64,51,83,46,37,54,36,23,13,18,49.1
"$200,000 and over","9,023","7,619",88,729,156,573,"2,012",873,"1,139","2,476","1,196","1,280","2,314","1,255","1,060","1,404","1,135",737,397,269,51.4
Median income (dollars),"76,135","80,176","40,622","62,401","55,399","69,969","83,531","79,556","88,401","93,606","92,312","95,026","87,674","92,399","82,526","62,192","71,003","75,473","64,399","49,411",(X)
..Standard error (dollars),404,470,"1,391",914,999,"1,561","1,135","1,549","1,477","1,217","1,311","1,651","1,374","1,786","1,472",889,"1,181","1,585","1,202","1,076",(X)
Mean income (dollars),"103,218","107,103","57,139","80,927","67,541","90,336","108,085","100,349","116,427","120,109","117,689","122,659","123,241","126,158","120,032","88,867","98,898","103,664","92,494","70,408",(X)
..Standard error (dollars) ,663,707,"2,061","1,120","1,393","1,700","1,045","1,405","1,575","1,345","1,814","1,899","1,825","2,262","3,168","1,477","1,990","2,688","3,406","1,807",(X)
Gini ratio,0.458,0.455,0.480,0.446,0.434,0.445,0.442,0.438,0.443,0.426,0.426,0.425,0.463,0.455,0.471,0.460,0.457,0.455,0.457,0.445,(X)
..Standard error,0.0024,0.0024,0.0116,0.0051,0.0071,0.0070,0.0040,0.0059,0.0056,0.0040,0.0055,0.0056,0.0055,0.0076,0.0094,0.0074,0.0090,0.0109,0.0164,0.0110,(X)
Income per family member,"32,961","32,183","18,794","24,363","21,749","26,006","28,412","26,418","30,556","35,287","33,151","37,744","44,122","43,165","45,282","36,935","40,234","41,661","38,261","30,475",(X)
..Standard error (dollars)  ,223,212,672,398,503,564,301,413,476,411,535,621,674,802,"1,236",662,839,"1,100","1,400",860,(X)
Total persons in families,"261,599","218,770","9,198","43,078","16,624","26,454","65,174","33,767","31,408","57,022","30,504","26,518","44,299","24,283","20,015","42,829","28,349","16,453","11,897","14,480",(X)
"For more information on the updated processing system, see < https://www.census.gov/data/datasets/time-series/demo/income-poverty/cps-asec-design.html >.",,,,,,,,,,,,,,,,,,,,,
"FINC-02. Age of Reference Person, by Total Money Income in 2018, Type of Family, Race and Hispanic Origin of Reference Person.",,,,,,,,,,,,,,,,,,,,,
"Data reflect the implementation of an updated processing system that incorporates content from earlier questionnaire redesigns related to income, health insurance, and demographics.",,,,,,,,,,,,,,,,,,,,,
"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see <www2.census.gov/programs-surveys/cps/techdocs/cpsmar19.pdf>.",,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2019 Annual Social and Economic Supplement.",,,,,,,,,,,,,,,,,,,,,
"(Numbers in thousands. Families as of March of the following year. A.O.I.C. stands for alone or in combination. Median income is calculated using $2,500 income intervals.",,,,,,,,,,,,,,,,,,,,,
"The Gini index is calculated using micro-sorted data.  Medians falling in the upper open-ended interval are plugged with $250,000.  Standard errors calculated using replicate weights)",,,,,,,,,,,,,,,,,,,,,
All Primary Families,,,,,,,,,,,,,,,,,,,,,
All Races,,,,,,,,,,,,,,,,,,,,,
Characteristic,Total,Under 65 years,,,,,,,,,,,,,,65 years and over,,,,,Mean age
,,Total Under 65 years,15 to 24 years,25 to 34 years,,,35 to 44 years,,,45 to 54 years,,,55 to 64 years,,,Total 65 years and over,65 to 74 years,,,75 years and over,
,,,,Total,25 to 29 years,30 to 34 years,Total,35 to 39 years,40 to 44 years,Total,45 to 49 years,50 to 54 years,Total,55 to 59 years,60 to 64 years,,Total,65 to 69 years,70 to 74 years,,
....Total,"83,508","65,067","3,006","12,994","5,499","7,495","16,986","8,836","8,150","16,414","8,347","8,067","15,667","8,034","7,634","18,441","11,887","6,612","5,275","6,554",50.4
"Under $5,000","1,941","1,569",175,460,261,199,348,201,147,279,139,140,307,135,172,372,215,137,78,157,46.5
"$5,000 to  $9,999","1,212",953,88,307,146,161,227,119,108,168,85,83,163,93,69,259,164,99,65,95,47.0
"$10,000 to $14,999","1,816","1,430",93,379,215,164,380,216,164,258,128,131,320,146,174,386,215,133,82,171,48.5
"$15,000 to $19,999","2,055","1,519",156,386,166,220,401,208,193,248,150,99,327,168,159,536,296,156,140,240,49.6
"$20,000 to $24,999","2,753","1,958",197,458,196,261,540,310,230,413,219,194,350,171,179,794,472,263,209,323,50.4
"$25,000 to $29,999","2,915","2,023",182,496,251,244,569,328,241,353,163,189,424,210,214,892,479,277,202,413,51.4
"$30,000 to $34,999","3,242","2,240",180,565,253,312,565,321,244,491,250,241,440,205,235,"1,002",548,273,274,454,51.7
"$35,000 to $39,999","3,280","2,327",177,564,268,295,567,333,234,510,275,234,509,232,277,953,547,273,274,406,51.4
"$40,000 to $44,999","3,055","2,109",146,567,249,318,563,316,248,390,210,180,443,226,216,946,524,261,263,422,51.6
"$45,000 to $49,999","2,922","2,132",153,551,211,340,547,304,243,431,205,227,449,211,237,790,462,252,210,328,50.5
"$50,000 to $54,999","3,248","2,412",154,549,256,293,607,309,298,517,277,240,585,300,286,836,503,263,240,333,50.8
"$55,000 to $59,999","2,940","2,155",130,536,272,264,466,248,218,483,258,225,540,275,265,785,476,241,235,310,51.3
"$60,000 to $64,999","2,983","2,165",122,504,261,242,592,310,282,441,249,193,505,248,257,818,523,282,241,295,51.1
"$65,000 to $69,999","2,668","1,961",96,444,216,229,439,217,222,487,272,215,495,230,265,707,470,273,198,236,51.4
"$70,000 to $74,999","2,575","1,987",110,473,210,263,497,251,246,455,248,207,451,205,246,588,408,214,194,180,49.8
"$75,000 to $79,999","2,762","2,122",124,417,143,274,504,233,271,560,302,257,517,266,251,640,423,221,201,217,50.8
"$80,000 to $84,999","2,433","1,924",85,390,172,218,535,299,236,465,230,236,448,226,222,508,365,219,147,143,49.6
"$85,000 to $89,999","2,275","1,747",45,396,177,219,447,215,232,439,203,236,421,234,187,528,375,207,168,153,50.5
"$90,000 to $94,999","2,299","1,823",74,350,138,212,465,221,244,450,237,213,483,269,214,476,351,192,159,125,50.3
"$95,000 to $99,999","2,018","1,627",31,422,154,268,435,243,191,346,177,168,393,196,197,391,268,168,100,123,49.1
"$100,000 to $104,999","2,211","1,777",32,308,139,169,427,222,205,524,277,246,487,279,208,434,321,182,139,112,50.8
"$105,000 to $109,999","1,880","1,524",35,296,121,175,412,199,214,391,209,181,390,177,212,356,220,132,87,137,50.1
"$110,000 to $114,999","1,840","1,526",39,282,105,178,452,232,220,435,234,200,318,172,146,314,236,139,97,77,48.9
"$115,000 to $119,999","1,589","1,313",51,251,108,143,366,188,178,318,151,167,326,170,156,277,195,103,92,82,49.3
"$120,000 to $124,999","1,552","1,291",33,232,82,150,349,195,154,361,181,180,316,170,147,261,185,107,78,76,49.5
"$125,000 to $129,999","1,440","1,193",45,208,75,133,304,147,157,337,169,169,298,159,140,247,161,89,72,86,49.8
"$130,000 to $134,999","1,359","1,121",14,224,71,153,317,175,142,321,168,153,246,148,98,237,184,98,87,53,49.2
"$135,000 to $139,999","1,132",947,14,162,75,88,276,146,130,240,135,105,254,140,114,186,136,76,60,49,49.4
"$140,000 to $144,999","1,125",922,18,121,45,76,244,113,132,289,143,146,251,137,114,203,148,102,46,55,51.1
"$145,000 to $149,999","1,098",935,23,114,34,81,280,122,158,287,144,143,231,119,111,164,122,65,58,41,49.9
"$150,000 to $154,999","1,233","1,059",6,148,33,115,301,160,141,353,195,158,251,135,116,174,117,77,40,57,49.8
"$155,000 to $159,999",822,716,25,78,25,53,194,87,107,225,117,108,194,108,85,107,86,45,41,21,49.6
"$160,000 to $164,999",940,817,7,123,32,91,246,129,117,238,115,123,203,105,98,123,107,70,37,16,49.2
"$165,000 to $169,999",792,679,8,77,29,48,200,112,88,219,89,129,175,87,88,113,81,47,34,32,50.2
"$170,000 to $174,999",744,621,13,54,13,41,203,109,93,181,95,86,170,105,65,124,90,52,39,34,50.7
"$175,000 to $179,999",713,584,6,73,26,47,143,70,73,211,108,102,152,74,78,129,100,64,36,29,51.5
"$180,000 to $184,999",627,542,0,74,28,45,156,65,91,149,73,76,163,76,87,85,52,25,27,33,50.7
"$185,000 to $189,999",607,509,10,82,15,67,101,49,52,180,88,92,136,66,70,99,87,50,37,12,50.5
"$190,000 to $194,999",511,439,2,60,15,45,108,43,65,142,68,74,127,57,70,72,44,30,14,28,50.9
"$195,000 to $199,999",509,430,4,41,11,30,151,79,72,123,49,75,110,64,47,79,65,36,29,14,50.1
"$200,000 and over","9,393","7,940",101,771,202,569,"2,061",991,"1,070","2,706","1,261","1,445","2,300","1,238","1,062","1,453","1,066",621,445,388,51.4
Median income (dollars),"78,646","83,554","48,356","66,728","60,065","73,564","86,400","82,841","90,285","100,175","96,789","101,907","91,196","94,246","86,923","64,023","70,624","73,101","68,202","54,029",(X)
..Standard error (dollars),518,695,"1,534",952,"1,076","1,548",906,"1,205","1,303",891,"1,600","1,014",878,"1,642","1,688",708,"1,122","1,467","1,357",918,(X)
Mean income (dollars),"106,045","110,841","67,644","85,613","73,836","94,254","111,258","106,696","116,203","130,828","126,091","135,731","118,661","121,474","115,701","89,121","95,925","98,274","92,979","76,780",(X)
..Standard error (dollars) ,690,830,"3,334","1,179","1,696","1,617","1,284","1,673","1,737","1,649","2,188","2,532","1,668","2,164","2,199","1,000","1,318","1,754","1,952","1,636",(X)
Gini ratio,0.452,0.450,0.490,0.441,0.430,0.441,0.440,0.443,0.437,0.442,0.437,0.446,0.433,0.427,0.439,0.447,0.440,0.444,0.434,0.450,(X)
..Standard error,0.0024,0.0028,0.0199,0.0062,0.0108,0.0078,0.0043,0.0055,0.0063,0.0054,0.0073,0.0076,0.0053,0.0074,0.0080,0.0049,0.0059,0.0077,0.0089,0.0085,(X)
Income per family member,"33,799","33,131","22,063","25,990","24,384","27,013","29,060","27,851","30,371","38,009","35,109","41,287","42,120","41,424","42,916","37,078","39,055","39,475","38,513","33,263",(X)
..Standard error (dollars)  ,236,253,"1,062",399,612,516,356,456,491,528,672,820,668,810,944,505,624,770,944,782,(X)
Total persons in families,"262,010","217,686","9,216","42,803","16,651","26,152","65,031","33,848","31,183","56,498","29,978","26,520","44,138","23,558","20,580","44,324","29,197","16,461","12,735","15,128",(X)
"For more information on the updated processing system, see <www.census.gov/data/datasets/time-series/demo/income-poverty/cps-asec-design.html>.",,,,,,,,,,,,,,,,,,,,,
"FINC-02. Age of Reference Person by Total Money Income in 2019, Type of Family, Race and Hispanic Origin of Reference Person",,,,,,,,,,,,,,,,,,,,,
"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar20.pdf>.",,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2020 Annual Social and Economic Supplement (CPS ASEC).",,,,,,,,,,,,,,,,,,,,,
"(Numbers in thousands. Families as of March of the following year. A.O.I.C. stands for alone or in combination. Median income is calculated using $2,500 intervals.",,,,,,,,,,,,,,,,,,,,,
"The Gini index is calculated using micro-sorted data. Medians falling in the upper open-ended interval are plugged with ""$250,000"". Standard errors calculated using replicate weights)",,,,,,,,,,,,,,,,,,,,,
Primary Families,,,,,,,,,,,,,,,,,,,,,
All Races,,,,,,,,,,,,,,,,,,,,,
Characteristic,Total,Under 65 years,,,,,,,,,,,,,,65 years and over,,,,,Mean age of householder
,,Total under 65 years,15 to 24 years,25 to 34 years,,,35 to 44 years,,,45 to 54 years,,,55 to 64 years,,,Total 65 years and over,65 to 74 years,,,75 years and over,
,,,,Total,25 to 29 years,30 to 34 years,Total,35 to 39 years,40 to 44 years,Total,45 to 49 years,50 to 54 years,Total,55 to 59 years,60 to 64 years,,Total,65 to 69 years,70 to 74 years,,
....Total,"83,698","64,476","2,541","12,690","5,098","7,592","17,044","8,772","8,272","16,234","8,227","8,007","15,967","8,152","7,815","19,222","12,262","6,649","5,612","6,961",50.9
"Under $5,000","1,698","1,374",122,443,222,221,353,203,150,227,130,97,228,122,106,325,199,114,85,125,45.8
"$5,000 to $9,999","1,099",860,91,300,154,146,170,93,77,147,84,63,152,72,80,240,144,92,52,96,46.8
"$10,000 to $14,999","1,401","1,075",84,323,149,174,257,124,133,187,112,75,225,113,112,325,165,92,73,160,48.8
"$15,000 to $19,999","1,811","1,301",98,340,170,170,342,170,172,272,144,128,249,106,143,509,252,124,128,258,50.9
"$20,000 to $24,999","2,213","1,648",126,440,225,216,403,220,183,296,146,150,383,178,205,565,325,148,178,240,50.1
"$25,000 to $29,999","2,721","1,820",145,500,220,281,481,262,219,364,192,172,330,130,200,901,453,206,247,448,52.1
"$30,000 to $34,999","2,948","2,037",180,567,261,306,522,299,223,358,167,191,410,191,219,911,492,230,262,419,51.3
"$35,000 to $39,999","2,786","1,833",107,444,181,263,481,279,202,415,221,194,387,200,186,953,537,288,249,417,53.2
"$40,000 to $44,999","3,113","2,229",138,529,192,337,607,321,286,408,224,183,548,231,318,884,535,236,299,348,51.7
"$45,000 to $49,999","2,912","2,061",124,478,183,295,539,268,270,402,173,229,518,249,269,851,491,262,229,360,52.1
"$50,000 to $54,999","2,941","2,105",94,518,230,289,567,277,290,442,227,215,484,268,216,835,504,250,254,331,51.5
"$55,000 to $59,999","2,928","2,016",110,504,242,262,470,279,191,443,216,228,489,213,276,913,544,267,277,369,52.6
"$60,000 to $64,999","2,852","2,091",123,463,243,221,544,287,257,502,280,221,460,248,211,761,506,228,277,255,50.9
"$65,000 to $69,999","2,451","1,845",116,405,133,272,430,219,211,429,248,181,465,233,232,606,351,171,181,255,51.0
"$70,000 to $74,999","2,645","1,969",69,400,188,212,593,323,270,431,220,210,476,231,245,676,421,229,191,256,51.3
"$75,000 to $79,999","2,444","1,851",71,434,165,269,451,266,185,425,226,198,470,226,243,593,421,225,196,172,50.7
"$80,000 to $84,999","2,392","1,831",61,416,188,227,458,264,193,456,229,227,440,229,211,561,383,248,135,177,50.5
"$85,000 to $89,999","2,173","1,663",70,318,139,179,411,185,226,425,192,233,440,218,221,510,352,183,169,158,51.3
"$90,000 to $94,999","2,196","1,680",72,312,133,179,465,240,225,410,212,197,422,207,215,516,346,183,163,170,50.9
"$95,000 to $99,999","2,074","1,616",73,370,116,254,426,211,215,344,168,176,403,205,198,459,290,176,115,168,50.1
"$100,000 to $104,999","2,240","1,787",72,362,138,224,495,254,241,439,238,201,420,191,229,452,336,210,126,117,49.6
"$105,000 to $109,999","1,891","1,478",28,310,103,208,404,189,215,383,179,204,353,192,161,413,281,157,124,132,50.6
"$110,000 to $114,999","1,815","1,498",19,276,99,177,417,245,172,383,214,169,402,186,216,318,219,127,92,99,50.1
"$115,000 to $119,999","1,540","1,211",32,223,91,132,314,146,168,318,175,144,323,152,172,329,219,131,88,111,51.1
"$120,000 to $124,999","1,827","1,487",28,269,109,160,378,198,180,423,206,217,389,212,177,340,218,127,92,121,50.5
"$125,000 to $129,999","1,416","1,152",33,144,46,98,304,143,161,352,183,169,318,173,145,264,182,112,70,82,51.2
"$130,000 to $134,999","1,436","1,201",25,195,78,118,365,198,166,333,184,149,283,144,138,234,164,97,67,70,49.4
"$135,000 to $139,999","1,287","1,061",25,156,55,102,309,169,140,293,152,142,278,141,136,226,138,75,63,88,50.4
"$140,000 to $144,999","1,169",968,22,161,50,111,294,133,161,266,128,138,224,116,108,201,141,77,64,61,49.7
"$145,000 to $149,999","1,107",882,9,150,49,101,239,122,116,239,121,118,245,104,141,225,168,113,55,57,51.2
"$150,000 to $154,999","1,396","1,182",29,200,60,139,342,183,158,327,142,184,285,138,148,214,160,94,66,54,49.2
"$155,000 to $159,999",974,802,15,131,42,89,216,101,115,245,113,131,195,117,78,172,127,85,42,45,50.1
"$160,000 to $164,999","1,074",879,4,137,55,82,228,116,112,281,136,145,229,138,91,195,146,84,62,49,50.7
"$165,000 to $169,999",833,728,16,120,48,72,172,66,106,223,106,117,196,125,71,106,79,40,39,27,49.3
"$170,000 to $174,999","1,020",819,19,115,25,90,263,127,135,247,127,120,175,101,74,201,150,104,46,51,50.2
"$175,000 to $179,999",807,690,10,94,27,67,186,84,102,237,150,87,162,90,73,117,88,36,51,29,49.7
"$180,000 to $184,999",773,659,6,98,20,79,170,62,108,192,95,97,193,109,84,114,91,48,43,23,50.4
"$185,000 to $189,999",681,564,3,48,9,38,129,67,62,178,101,77,206,94,112,117,87,47,40,30,53.1
"$190,000 to $194,999",669,603,5,49,20,29,188,86,102,210,74,136,151,93,58,66,47,33,13,19,49.7
"$195,000 to $199,999",551,453,5,45,5,40,123,55,68,137,65,72,143,84,59,98,71,36,36,27,51.9
"$200,000 and over","11,393","9,467",62,900,237,664,"2,541","1,237","1,304","3,144","1,524","1,621","2,819","1,584","1,236","1,925","1,438",866,572,487,51.8
Median income (dollars),"86,011","91,656","52,972","70,942","61,889","76,665","94,755","90,851","98,955","108,609","106,514","110,733","100,052","105,363","94,940","70,254","77,378","82,719","70,413","58,738",(X)
..Standard error (dollars),540,604,"2,206",991,"1,179",968,"1,357","1,515","1,799","1,611","1,892","2,000","1,151","1,990","1,851","1,029","1,114","1,622","1,682","1,107",(X)
Mean income (dollars),"116,735","122,243","65,370","90,264","77,983","98,512","122,477","120,237","124,851","142,834","141,282","144,429","135,525","143,151","127,571","98,260","106,670","111,596","100,833","83,445",(X)
..Standard error (dollars),835,977,"2,313","1,377","2,089","1,812","1,630","2,351","2,190","2,120","2,847","2,893","2,351","3,295","2,981","1,340","1,718","2,205","2,640","2,255",(X)
Gini ratio,0.454,0.452,0.428,0.439,0.432,0.437,0.439,0.449,0.428,0.440,0.448,0.433,0.449,0.450,0.446,0.448,0.443,0.436,0.449,0.446,(X)
..Standard error,0.0026,0.0029,0.0153,0.0058,0.0096,0.0069,0.0046,0.0067,0.0068,0.0059,0.0081,0.0085,0.0066,0.0085,0.0096,0.0049,0.0062,0.0073,0.0105,0.0088,(X)
Income per family member,"37,052","36,324","21,349","28,004","26,439","28,913","32,049","31,614","32,506","40,578","38,590","42,793","47,020","47,016","47,026","40,434","42,795","44,095","41,203","35,966",(X)
..Standard error (dollars),275,294,858,491,776,605,446,665,616,636,805,878,859,"1,105","1,199",597,745,949,"1,119","1,004",(X)
Total people in families,"263,696","216,984","7,781","40,903","15,037","25,866","65,134","33,362","31,772","57,143","30,120","27,023","46,022","24,821","21,202","46,712","30,563","16,828","13,735","16,149",(X)
"FINC-02. Age of Reference Person by Total Money Income in 2020, Type of Family, Race and Hispanic Origin of Reference Person",,,,,,,,,,,,,,,,,,,,,
"Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar21.pdf>.",,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2021 Annual Social and Economic Supplement (CPS ASEC).",,,,,,,,,,,,,,,,,,,,,
"(Numbers in thousands. Families as of March of the following year. A.O.I.C. stands for alone or in combination. Median income is calculated using $2,500 intervals.",,,,,,,,,,,,,,,,,,,,,
"The Gini index is calculated using micro-sorted data. Medians falling in the upper open-ended interval are plugged with ""$250,000"". Standard errors calculated using replicate weights)",,,,,,,,,,,,,,,,,,,,,
Primary Families,,,,,,,,,,,,,,,,,,,,,
All Races,,,,,,,,,,,,,,,,,,,,,
Characteristic,Total,Under 65 years,,,,,,,,,,,,,,65 years and over,,,,,Mean age of householder
,,Total under 65 years,15 to 24 years,25 to 34 years,,,35 to 44 years,,,45 to 54 years,,,55 to 64 years,,,Total 65 years and over,65 to 74 years,,,75 years and over,
,,,,Total,25 to 29 years,30 to 34 years,Total,35 to 39 years,40 to 44 years,Total,45 to 49 years,50 to 54 years,Total,55 to 59 years,60 to 64 years,,Total,65 to 69 years,70 to 74 years,,
....Total,"83,918","64,541","2,537","12,795","5,036","7,758","17,293","8,689","8,604","16,287","8,146","8,140","15,628","7,980","7,648","19,378","12,415","7,031","5,385","6,962",50.9
"Under $5,000","2,071","1,708",183,554,268,287,436,233,203,271,151,119,265,122,144,363,231,122,109,132,45.0
"$5,000 to $9,999","1,154",930,71,272,128,144,253,111,142,170,103,67,164,72,92,224,141,68,74,82,46.9
"$10,000 to $14,999","1,556","1,227",111,326,145,181,304,177,126,217,118,100,269,150,119,329,174,105,69,155,48.2
"$15,000 to $19,999","2,002","1,410",100,358,152,205,366,186,180,274,138,135,313,145,168,591,344,194,150,248,51.5
"$20,000 to $24,999","2,493","1,815",133,483,195,289,444,215,230,378,206,173,376,161,215,678,377,194,182,302,50.6
"$25,000 to $29,999","2,650","1,722",119,460,198,262,460,257,203,313,183,129,370,157,213,928,498,257,240,430,53.1
